Cooling Unit Error: Check connection cable
N/A
Cabinet
Signals from Cooling Unit
Alarm Activated:
No
Door Sensor:
CLOSED
Water Sensor:
OK
Smoke Sensor:
OK
Events Log
Log Entries: 1429
Refresh Log
Timestamp	Reporter	Target	Type	Event
2025-06-21 06:35:54	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-20 15:42:22	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-20 13:17:14	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-20 12:39:35	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-20 11:04:41	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-20 08:13:58	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-19 10:51:28	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-19 06:16:16	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-18 15:09:52	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-18 12:37:50	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-18 09:42:45	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-18 05:32:53	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-17 15:24:44	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-17 12:45:21	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-17 09:02:28	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-17 05:30:10	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-16 15:17:07	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-16 13:32:08	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-06-16 13:10:29	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-16 10:29:10	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-06-16 09:54:09	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-06-16 09:37:28	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-16 08:44:22	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-16 05:42:19	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-14 10:34:47	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-14 09:40:40	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-14 08:33:05	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-06-14 08:17:59	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-06-14 07:51:27	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-06-14 07:23:56	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-13 15:43:16	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-13 12:56:29	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-13 11:42:27	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-13 09:55:58	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-06-13 09:18:23	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-13 08:14:03	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-12 14:21:41	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-12 12:45:32	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-12 08:54:17	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-11 13:08:01	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-11 06:33:18	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-11 05:34:16	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-10 10:21:41	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-10 08:52:08	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
